"id","institutionCode","collectionCode","catalogNumber","order","family","scientificName","genus","specificEpithet","taxonRank","infraspecificEpithet","year","month","day","reproductiveCondition","county","municipality","locality","localitySecurity","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","date","lastcollected"
22551,"University of Connecticut","CONN","CONN00000262","Poales","Typhaceae","Sparganium minimum","Sparganium","minimum","","",1903,8,19,"flowering","Litchfield","SUPPRESSED","SUPPRESSED",0,NA,NA,20000,1903-08-19,1904
22552,"University of Connecticut","CONN","CONN00000264","Poales","Typhaceae","Sparganium minimum","Sparganium","minimum","","",1903,8,19,"flowering","Litchfield","SUPPRESSED","SUPPRESSED",0,NA,NA,NA,1903-08-19,1904
22553,"University of Connecticut","CONN","CONN00000265","Poales","Typhaceae","Sparganium minimum","Sparganium","minimum","","",NA,NA,NA,"flowering/fruiting","Litchfield","SUPPRESSED","SUPPRESSED",0,NA,NA,20000,NA,1904
22554,"University of Connecticut","CONN","CONN00000266","Poales","Typhaceae","Sparganium minimum","Sparganium","minimum","","",1903,8,19,"flowering/fruiting","Litchfield","SUPPRESSED","SUPPRESSED",0,NA,NA,20000,1903-08-19,1904
22555,"University of Connecticut","CONN","CONN00000267","Poales","Typhaceae","Sparganium minimum","Sparganium","minimum","","",1903,8,19,"flowering/fruiting","Litchfield","SUPPRESSED","SUPPRESSED",0,NA,NA,20000,1903-08-19,1904
22556,"University of Connecticut","CONN","CONN00000268","Poales","Typhaceae","Sparganium minimum","Sparganium","minimum","","",1898,8,20,"flowering/fruiting","Litchfield","SUPPRESSED","SUPPRESSED",0,NA,NA,20000,1898-08-20,1904
22557,"University of Connecticut","CONN","CONN00000269","Poales","Typhaceae","Sparganium minimum","Sparganium","minimum","","",1903,8,19,"flowering","Litchfield","SUPPRESSED","SUPPRESSED",0,NA,NA,NA,1903-08-19,1904
22558,"University of Connecticut","CONN","CONN00000270","Poales","Typhaceae","Sparganium minimum","Sparganium","minimum","","",1904,7,4,"flowering/fruiting","Litchfield","SUPPRESSED","SUPPRESSED",0,NA,NA,20000,1904-07-04,1904
42655,"University of Connecticut","CONN","CONN00000298","Alismatales","Zosteraceae","Zostera marina","Zostera","marina","","",1930,10,20,"","New London","Groton","Bluff Point",0,41.31416,-72.03583,20000,1930-10-20,1948
42656,"University of Connecticut","CONN","CONN00000299","Alismatales","Zosteraceae","Zostera marina","Zostera","marina","","",1927,6,7,"","Fairfield","Stratford","Fresh Pond",0,41.17194,-73.13027,20000,1927-06-07,1948
42657,"University of Connecticut","CONN","CONN00000300","Alismatales","Zosteraceae","Zostera marina","Zostera","marina","","",1874,7,13,"","New Haven","Madison","Madison",0,41.33777,-72.63,NA,1874-07-13,1948
42658,"University of Connecticut","CONN","CONN00000301","Alismatales","Zosteraceae","Zostera marina","Zostera","marina","","",1915,7,14,"","Fairfield","Fairfield","Fairfield",0,41.17583,-73.2725,NA,1915-07-14,1948
42659,"University of Connecticut","CONN","CONN00000302","Alismatales","Zosteraceae","Zostera marina","Zostera","marina","","",1948,8,4,"","New London","Stonington","Barn Island Wildlife Management Area",0,41.33972,-71.8775,5000,1948-08-04,1948
42714,"University of Connecticut","CONN","CONN00000364","Alismatales","Alismataceae","Alisma gramineum","Alisma","gramineum","","",1966,8,16,"","Hartford","Burlington","Farmington River, Burlington",0,41.78777,-72.925,20000,1966-08-16,1966
42922,"University of Connecticut","CONN","CONN00000607","Alismatales","Hydrocharitaceae","Anacharis canadensis","Anacharis","canadensis","","",1887,8,21,"sterile/vegetative","Hartford","Plainville","Plainville",0,41.67472,-72.8575,5000,1887-08-21,1947
42924,"University of Connecticut","CONN","CONN00000609","Alismatales","Hydrocharitaceae","Philotria canadensis","Philotria","canadensis","","",1907,8,12,"sterile/vegetative","Litchfield","Salisbury","Twin Lakes",0,42.02083,-73.39166,20000,1907-08-12,1910
42929,"University of Connecticut","CONN","CONN00000615","Alismatales","Hydrocharitaceae","Philotria canadensis","Philotria","canadensis","","",1910,8,1,"sterile/vegetative","Hartford","Suffield","Congamond Lake",0,42.025,-72.75694,5000,1910-08-01,1910
42937,"University of Connecticut","CONN","CONN00000623","Alismatales","Hydrocharitaceae","Anacharis canadensis","Anacharis","canadensis","","",1941,9,6,"sterile/vegetative","New Haven","Southbury","Housatonic River",0,41.43666,-73.265,20000,1941-09-06,1947
42939,"University of Connecticut","CONN","CONN00000625","Alismatales","Hydrocharitaceae","Anacharis canadensis","Anacharis","canadensis","","",1947,10,25,"sterile/vegetative","Hartford","Manchester","Center Spring Park, Manchester",0,41.77722,-72.52944,5000,1947-10-25,1947
42951,"University of Connecticut","CONN","CONN00000637","Alismatales","Hydrocharitaceae","Philotria angustifolia","Philotria","angustifolia","","",1932,7,29,"sterile/vegetative","New London","Lyme","Selden Cove",0,41.41166,-72.41611,20000,1932-07-29,1932
42952,"University of Connecticut","CONN","CONN00000638","Alismatales","Hydrocharitaceae","Elodea occidentalis","Elodea","occidentalis","","",1935,8,5,"flowering","Fairfield","Ridgefield","Little Pond, Ridgefield",0,41.3175,-73.47611,20000,1935-08-05,1936
42953,"University of Connecticut","CONN","CONN00000639","Alismatales","Hydrocharitaceae","Elodea occidentalis","Elodea","occidentalis","","",1935,10,11,"sterile/vegetative","New Haven","Guilford","West Lake",0,41.33833,-72.73138,20000,1935-10-11,1936
42955,"University of Connecticut","CONN","CONN00000641","Alismatales","Hydrocharitaceae","Anacharis occidentalis","Anacharis","occidentalis","","",1941,7,0,"sterile/vegetative","Tolland","Ellington, Rockville","Rockville, Ellington",0,41.87638,-72.45027,20000,NA,1941
42959,"University of Connecticut","CONN","CONN00000645","Alismatales","Hydrocharitaceae","Elodea occidentalis","Elodea","occidentalis","","",1936,8,28,"sterile/vegetative","New Haven","Middlebury","Long Meadow Pond",0,41.48833,-73.11361,2000,1936-08-28,1936
42960,"University of Connecticut","CONN","CONN00000646","Alismatales","Hydrocharitaceae","Elodea occidentalis","Elodea","occidentalis","","",1934,9,28,"flowering","Fairfield","Danbury","Danbury",0,41.40222,-73.47166,5000,1934-09-28,1936
42964,"University of Connecticut","CONN","CONN00000650","Alismatales","Hydrocharitaceae","Philotria angustifolia","Philotria","angustifolia","","",1910,8,0,"flowering","Hartford","Suffield","Congamond Lake",0,42.025,-72.75694,5000,NA,1932
42969,"University of Connecticut","CONN","CONN00000656","Alismatales","Hydrocharitaceae","Vallisneria spiralis","Vallisneria","spiralis","species","",1904,8,29,"flowering","Litchfield","Kent, South Kent","Hatch Pond",0,41.68388,-73.47833,20000,1904-08-29,1928
42970,"University of Connecticut","CONN","CONN00000657","Alismatales","Hydrocharitaceae","Vallisneria spiralis","Vallisneria","spiralis","species","",1928,9,10,"flowering","Hartford","Windsor","Farmington River",0,41.90027,-72.67916,20000,1928-09-10,1928
3047,"University of Connecticut","CONN","CONN00000658","Alismatales","Hydrocharitaceae","Vallisneria spiralis","Vallisneria","spiralis","species","",1928,9,8,"fruiting","New London","Lyme","Connecticut River",0,41.38888,-72.39472,20000,1928-09-08,1928
42976,"University of Connecticut","CONN","CONN00000664","Alismatales","Hydrocharitaceae","Vallisneria spiralis","Vallisneria","spiralis","species","",1904,8,29,"sterile/vegetative","Litchfield","Kent, South Kent","Hatch Pond",0,41.68388,-73.47777,20000,1904-08-29,1928
42977,"University of Connecticut","CONN","CONN00000665","Alismatales","Hydrocharitaceae","Vallisneria spiralis","Vallisneria","spiralis","species","",1897,8,6,"flowering","New Haven","East Haven","Lake Saltonstall, East Haven",0,41.28166,-72.86166,20000,1897-08-06,1928
42979,"University of Connecticut","CONN","CONN00000667","Alismatales","Hydrocharitaceae","Vallisneria spiralis","Vallisneria","spiralis","species","",1904,8,28,"flowering","Litchfield","New Milford","Housatonic River",0,41.58916,-73.44611,20000,1904-08-28,1928
43086,"University of Connecticut","CONN","CONN00000780","Poales","Cyperaceae","Dulichium spathaceum","Dulichium","spathaceum","","",1900,8,0,"fruiting","Hartford","Farmington","Farmington",0,41.72777,-72.84083,5000,NA,1904
43098,"University of Connecticut","CONN","CONN00000792","Poales","Cyperaceae","Dulichium spathaceum","Dulichium","spathaceum","","",1904,8,13,"fruiting","New London","Lyme","Lyme",0,41.3975,-72.34666,5000,1904-08-13,1904
43099,"University of Connecticut","CONN","CONN00000793","Poales","Cyperaceae","Dulichium spathaceum","Dulichium","spathaceum","","",1903,7,28,"fruiting","New Haven","Wolcott","Wolcott",0,41.60111,-72.975,5000,1903-07-28,1904
43108,"University of Connecticut","CONN","CONN00000802","Poales","Cyperaceae","Dulichium spathaceum","Dulichium","spathaceum","","",1894,8,7,"fruiting","Litchfield","New Milford","New Milford",0,41.58694,-73.40833,5000,1894-08-07,1904
43109,"University of Connecticut","CONN","CONN00000803","Poales","Cyperaceae","Dulichium spathaceum","Dulichium","spathaceum","","",1893,7,25,"flowering","Fairfield","Bridgeport","Bridgeport",0,41.16694,-73.20472,5000,1893-07-25,1904
43127,"University of Connecticut","CONN","CONN00000822","Poales","Cyperaceae","Eleocharis pygmaea","Eleocharis","pygmaea","","",1900,7,0,"flowering","New Haven","Orange","Orange",0,41.27944,-73.02583,20000,NA,1900
43133,"University of Connecticut","CONN","CONN00000828","Poales","Cyperaceae","Eleocharis interstincta","Eleocharis","interstincta","","",1918,8,19,"fruiting","Windham","SUPPRESSED","SUPPRESSED",0,NA,NA,1000,1918-08-19,1919
43134,"University of Connecticut","CONN","CONN00000829","Poales","Cyperaceae","Eleocharis interstincta","Eleocharis","interstincta","","",1919,9,11,"fruiting","Windham","SUPPRESSED","SUPPRESSED",0,NA,NA,1000,1919-09-11,1919
43143,"University of Connecticut","CONN","CONN00000840","Poales","Cyperaceae","Scirpus nanus","Scirpus","nanus","","",1933,9,7,"fruiting","New London","Groton","Trails Corner, Groton",0,41.34138,-72.0575,5000,1933-09-07,1933
43198,"University of Connecticut","CONN","CONN00000901","Poales","Cyperaceae","Eleocharis calva","Eleocharis","calva","","",1904,8,28,"fruiting","Fairfield","Sherman","Housatonic River",0,41.66111,-73.49444,20000,1904-08-28,1904
43217,"University of Connecticut","CONN","CONN00000926","Poales","Cyperaceae","Carex mirabilis","Carex","mirabilis","","",1932,6,25,"fruiting","Tolland","Mansfield","Mansfield",0,41.78833,-72.22888,5000,1932-06-25,1940
43218,"University of Connecticut","CONN","CONN00000927","Poales","Cyperaceae","Carex mirabilis","Carex","mirabilis","","",1931,7,12,"fruiting","Litchfield","Winsted","Winsted",0,41.92111,-73.06055,5000,1931-07-12,1940
43219,"University of Connecticut","CONN","CONN00000928","Poales","Cyperaceae","Carex mirabilis","Carex","mirabilis","","",1932,6,25,"fruiting","Tolland","Mansfield","Mansfield",0,41.78833,-72.22888,5000,1932-06-25,1940
348626,"University of Connecticut","CONN","CONN00001046","Caryophyllales","Amaranthaceae","Dondia maritima","Dondia","maritima","","",NA,NA,NA,"flowering","New Haven","Milford","Milford",0,41.22222,-73.05638,5000,NA,1898
348622,"University of Connecticut","CONN","CONN00001047","Caryophyllales","Amaranthaceae","Dondia maritima","Dondia","maritima","","",1898,9,11,"flowering/fruiting","Fairfield","Stratford","Stratford",0,41.18444,-73.13305,5000,1898-09-11,1898
43297,"University of Connecticut","CONN","CONN00001141","Alismatales","Araceae","Peltandra undulata","Peltandra","undulata","species","",1904,8,27,"flowering","Hartford","Wethersfield","South Wethersfield",0,41.69027,-72.65611,5000,1904-08-27,1904
43305,"University of Connecticut","CONN","CONN00001149","Alismatales","Araceae","Peltandra undulata","Peltandra","undulata","species","",1898,7,3,"","Hartford","Bloomfield","North Bloomfield",0,41.88611,-72.74638,2000,1898-07-03,1904
43306,"University of Connecticut","CONN","CONN00001150","Alismatales","Araceae","Peltandra undulata","Peltandra","undulata","species","",1892,6,18,"","New Haven","Milford","Milford",0,41.22416,-73.06027,5000,1892-06-18,1904
43307,"University of Connecticut","CONN","CONN00001151","Alismatales","Araceae","Peltandra undulata","Peltandra","undulata","species","",1893,6,19,"","New Haven","Milford","Milford",0,41.22416,-73.06027,5000,1893-06-19,1904
354634,"University of Connecticut","CONN","CONN00001168","Alismatales","Lemnaceae","Lemna perpusilla","Lemna","perpusilla","","",1951,7,29,"","Hartford","Granby","Granby",0,41.95388,-72.78861,5000,1951-07-29,1951
354677,"University of Connecticut","CONN","CONN00001180","Alismatales","Lemnaceae","Lemna valdiviana","Lemna","valdiviana","","",1930,9,12,"","Fairfield","Danbury","Sugar Hollow Pond",0,41.34972,-73.46777,5000,1930-09-12,1953
354687,"University of Connecticut","CONN","CONN00001181","Alismatales","Lemnaceae","Lemna valdiviana","Lemna","valdiviana","","",1935,6,24,"","Fairfield","Ridgefield","Bennett Ponds, Ridgefield",0,41.34027,-73.4825,20000,1935-06-24,1953
354675,"University of Connecticut","CONN","CONN00001182","Alismatales","Lemnaceae","Lemna valdiviana","Lemna","valdiviana","","",1906,9,26,"","Fairfield","Ridgefield","Bennett Ponds, Ridgefield",0,41.34027,-73.4825,20000,1906-09-26,1953
354672,"University of Connecticut","CONN","CONN00001183","Alismatales","Lemnaceae","Lemna valdiviana","Lemna","valdiviana","","",1905,7,4,"","Fairfield","Norwalk","Norwalk River",0,41.11972,-73.42055,20000,1905-07-04,1953
354678,"University of Connecticut","CONN","CONN00001184","Alismatales","Lemnaceae","Lemna valdiviana","Lemna","valdiviana","","",1953,6,21,"","New Haven","Branford","Branford",0,41.27777,-72.80027,5000,1953-06-21,1953
354680,"University of Connecticut","CONN","CONN00001185","Alismatales","Lemnaceae","Lemna valdiviana","Lemna","valdiviana","","",1895,7,18,"","Fairfield","Monroe, Stepney","Pequonnock River, Stepney, Monroe",0,41.30472,-73.25333,20000,1895-07-18,1953
354686,"University of Connecticut","CONN","CONN00001186","Alismatales","Lemnaceae","Lemna valdiviana","Lemna","valdiviana","","",1893,7,4,"","Fairfield","Monroe","Stepney",0,41.30388,-73.25472,3000,1893-07-04,1953
354681,"University of Connecticut","CONN","CONN00001187","Alismatales","Lemnaceae","Lemna valdiviana","Lemna","valdiviana","","",1928,9,23,"","Fairfield","Weston","Saugatuck River",0,41.24361,-73.3475,5000,1928-09-23,1953
354683,"University of Connecticut","CONN","CONN00001189","Alismatales","Lemnaceae","Lemna valdiviana","Lemna","valdiviana","","",1931,8,17,"","Litchfield","Litchfield","Cranberry Pond",0,41.71361,-73.19722,5000,1931-08-17,1953
354684,"University of Connecticut","CONN","CONN00001194","Alismatales","Lemnaceae","Lemna polyrhiza","Lemna","polyrhiza","","",1895,6,29,"","Fairfield","Bridgeport","Bridgeport",0,41.16694,-73.20472,5000,1895-06-29,1898
354699,"University of Connecticut","CONN","CONN00001196","Alismatales","Lemnaceae","Lemna polyrhiza","Lemna","polyrhiza","","",1898,8,4,"flowering","New Haven","East Haven","East Haven",0,41.29555,-72.86305,5000,1898-08-04,1898
354692,"University of Connecticut","CONN","CONN00001203","Alismatales","Lemnaceae","Lemna polyrhiza","Lemna","polyrhiza","","",1893,7,28,"","New Haven","Hamden","Hamden",0,41.39583,-72.89722,3000,1893-07-28,1898
43316,"University of Connecticut","CONN","CONN00001234","Poales","Xyridaceae","Xyris congdonii","Xyris","congdonii","","",1929,8,9,"flowering","New Haven","SUPPRESSED","SUPPRESSED",0,NA,NA,5000,1929-08-09,1929
342795,"University of Connecticut","CONN","CONN00001253","Poales","Eriocaulaceae","Eriocaulon articulatum","Eriocaulon","articulatum","","",1873,7,16,"flowering","Middlesex","Killingworth","Killingworth",0,41.35805,-72.56361,5000,1873-07-16,1909
342955,"University of Connecticut","CONN","CONN00001265","Poales","Eriocaulaceae","Eriocaulon articulatum","Eriocaulon","articulatum","","",1907,8,7,"flowering","New London","Crescent Beach","Crescent Beach",0,41.315,-72.20194,20000,1907-08-07,1909
342934,"University of Connecticut","CONN","CONN00001268","Poales","Eriocaulaceae","Eriocaulon articulatum","Eriocaulon","articulatum","","",1909,7,17,"flowering","Tolland","Mansfield","Donovan's Pond",0,41.78944,-72.26083,1000,1909-07-17,1909
342953,"University of Connecticut","CONN","CONN00001271","Poales","Eriocaulaceae","Eriocaulon articulatum","Eriocaulon","articulatum","","",1906,9,17,"flowering","Tolland","Bolton","Bolton",0,41.76416,-72.43805,5000,1906-09-17,1909
342939,"University of Connecticut","CONN","CONN00001281","Poales","Eriocaulaceae","Eriocaulon articulatum","Eriocaulon","articulatum","","",1908,8,27,"flowering","Tolland","Stafford Springs","Crystal Lake",0,41.93663,-72.37346,1000,1908-08-27,1909
839603,"University of Connecticut","CONN","CONN00001316","Commelinales","Pontederiaceae","Heteranthera reniformis","Heteranthera","reniformis","","",1906,9,9,"fruiting","Fairfield","SUPPRESSED","SUPPRESSED",0,NA,NA,20000,1906-09-09,1938
839604,"University of Connecticut","CONN","CONN00001317","Commelinales","Pontederiaceae","Heteranthera reniformis","Heteranthera","reniformis","","",1938,9,2,"sterile/vegetative","Fairfield","SUPPRESSED","SUPPRESSED",0,NA,NA,20000,1938-09-02,1938
839605,"University of Connecticut","CONN","CONN00001318","Commelinales","Pontederiaceae","Heteranthera reniformis","Heteranthera","reniformis","","",1886,9,25,"sterile/vegetative","New Haven","SUPPRESSED","SUPPRESSED",0,NA,NA,20000,1886-09-25,1938
43318,"University of Connecticut","CONN","CONN00001373","Alismatales","Potamogetonaceae","Potamogeton lucens","Potamogeton","lucens","","",1885,8,21,"flowering/fruiting","Hartford","Plainville","Plainville",0,41.67472,-72.8575,NA,1885-08-21,1933
43353,"University of Connecticut","CONN","CONN00001413","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,8,6,"sterile/vegetative","Fairfield","Danbury","Lake Kenosia",0,41.38416,-73.50333,20000,1935-08-06,1936
43358,"University of Connecticut","CONN","CONN00001418","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,8,14,"sterile/vegetative","Litchfield","Kent, Bulls Bridge","Bulls Bridge",0,41.67583,-73.50944,20000,1935-08-14,1936
43393,"University of Connecticut","CONN","CONN00001457","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,8,8,"sterile/vegetative","Fairfield","Westport","Westport",0,41.12333,-73.3475,NA,1935-08-08,1936
43404,"University of Connecticut","CONN","CONN00001469","Alismatales","Potamogetonaceae","Potamogeton lateralis","Potamogeton","lateralis","","",1934,9,11,"fruiting","Fairfield","Danbury","Danbury",0,41.40222,-73.47166,NA,1934-09-11,1935
43405,"University of Connecticut","CONN","CONN00001470","Alismatales","Potamogetonaceae","Potamogeton lateralis","Potamogeton","lateralis","","",1934,11,2,"fruiting","Fairfield","Danbury","Danbury",0,41.40222,-73.47166,NA,1934-11-02,1935
43406,"University of Connecticut","CONN","CONN00001471","Alismatales","Potamogetonaceae","Potamogeton lateralis","Potamogeton","lateralis","","",1934,9,28,"fruiting","Fairfield","Danbury","Danbury",0,41.40222,-73.47166,NA,1934-09-28,1935
43407,"University of Connecticut","CONN","CONN00001472","Alismatales","Potamogetonaceae","Potamogeton lateralis","Potamogeton","lateralis","","",1934,9,28,"fruiting","Fairfield","Danbury","Danbury",0,41.40222,-73.47166,NA,1934-09-28,1935
43408,"University of Connecticut","CONN","CONN00001473","Alismatales","Potamogetonaceae","Potamogeton lateralis","Potamogeton","lateralis","","",1934,10,11,"sterile/vegetative","Fairfield","Ridgefield","Bennett Ponds, Ridgefield",0,41.34027,-73.4825,20000,1934-10-11,1935
43409,"University of Connecticut","CONN","CONN00001474","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,9,11,"sterile/vegetative","Litchfield","Kent, South Kent","Hatch Pond",0,41.68388,-73.47833,20000,1935-09-11,1936
43410,"University of Connecticut","CONN","CONN00001475","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,10,16,"sterile/vegetative","New Haven","Southbury","Lake Zoar",0,41.38333,-73.17194,5000,1935-10-16,1936
43411,"University of Connecticut","CONN","CONN00001476","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,8,16,"sterile/vegetative","Fairfield","Ridgefield","Bennett Ponds, Ridgefield",0,41.34027,-73.4825,20000,1935-08-16,1936
43412,"University of Connecticut","CONN","CONN00001477","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,9,26,"flowering","Fairfield","Redding","Saugatuck River",0,41.31222,-73.42138,20000,1935-09-26,1936
43419,"University of Connecticut","CONN","CONN00001484","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,8,2,"sterile/vegetative","Fairfield","Redding","Saugatuck River",0,41.31222,-73.42138,20000,1935-08-02,1936
43420,"University of Connecticut","CONN","CONN00001485","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,8,20,"flowering/fruiting","Fairfield","Redding","Saugatuck River",0,41.31222,-73.42138,20000,1935-08-20,1936
43421,"University of Connecticut","CONN","CONN00001486","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,8,20,"sterile/vegetative","Fairfield","Redding","Umpawaug Pond, Redding",0,41.30583,-73.45,20000,1935-08-20,1936
43422,"University of Connecticut","CONN","CONN00001487","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,8,2,"fruiting","Fairfield","Redding","Saugatuck River",0,41.31222,-73.42138,20000,1935-08-02,1936
43423,"University of Connecticut","CONN","CONN00001488","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,8,28,"flowering/fruiting","Fairfield","Redding","Saugatuck River",0,41.31222,-73.42138,20000,1935-08-28,1936
43424,"University of Connecticut","CONN","CONN00001489","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,7,11,"sterile/vegetative","New Haven","New Haven","Mill River",0,41.31638,-72.90611,20000,1935-07-11,1936
43428,"University of Connecticut","CONN","CONN00001493","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,8,20,"sterile/vegetative","Fairfield","Redding","Saugatuck River",0,41.31222,-73.42138,20000,1935-08-20,1936
43435,"University of Connecticut","CONN","CONN00001500","Alismatales","Potamogetonaceae","Potamogeton lateralis","Potamogeton","lateralis","","",1935,9,12,"fruiting","Fairfield","Danbury","Saugatuck River",0,41.34194,-73.46416,20000,1935-09-12,1935
839661,"University of Connecticut","CONN","CONN00001501","Alismatales","Potamogetonaceae","Potamogeton lateralis","Potamogeton","lateralis","","",1934,9,11,"","Fairfield","Danbury","Danbury",0,41.39472,-73.45388,5000,1934-09-11,1935
43436,"University of Connecticut","CONN","CONN00001502","Alismatales","Potamogetonaceae","Potamogeton lateralis","Potamogeton","lateralis","","",1935,8,6,"flowering/fruiting","Fairfield","Danbury","Saugatuck River",0,41.34194,-73.46416,20000,1935-08-06,1935
43441,"University of Connecticut","CONN","CONN00001507","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,10,4,"flowering","Fairfield","Danbury","Lake Kenosia",0,41.38416,-73.50333,20000,1935-10-04,1936
43442,"University of Connecticut","CONN","CONN00001508","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,7,27,"sterile/vegetative","Fairfield","Redding","Umpawaug Pond, Redding",0,41.30583,-73.45,20000,1935-07-27,1936
43444,"University of Connecticut","CONN","CONN00001510","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,8,28,"flowering","Fairfield","Danbury","Lake Kenosia",0,41.38416,-73.50333,20000,1935-08-28,1936
43452,"University of Connecticut","CONN","CONN00001518","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1913,7,4,"flowering","Litchfield","Salisbury","Twin Lakes",0,42.02083,-73.39166,20000,1913-07-04,1936
43453,"University of Connecticut","CONN","CONN00001519","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1935,9,24,"","Litchfield","Sharon","Mudge Pond",0,41.90361,-73.47472,20000,1935-09-24,1936
43454,"University of Connecticut","CONN","CONN00001520","Alismatales","Potamogetonaceae","Potamogeton panormitanus","Potamogeton","panormitanus","","",1934,8,21,"sterile/vegetative","Fairfield","Monroe","Lake Zoar, Monroe",0,41.3825,-73.17805,20000,1934-08-21,1936
